일차,hour,purchase_count,buyer_count,avg_dwell,avg_price,conversion_proxy
1,10,32,18,7.371875,6425.0,0.05333333333333334
1,11,46,26,6.606521739130434,8852.173913043478,0.07666666666666666
1,12,51,33,6.2823529411764705,6992.156862745098,0.085
1,13,57,36,6.203508771929825,6891.228070175439,0.095
1,14,66,40,6.95,10248.484848484848,0.11
1,15,69,38,6.494202898550725,5737.68115942029,0.115
1,16,55,34,7.3163636363636355,9987.272727272728,0.09166666666666666
1,17,53,37,6.249056603773584,6062.264150943396,0.08833333333333333
1,18,48,26,6.829166666666667,6718.75,0.08
1,19,59,37,7.15593220338983,9115.254237288136,0.09833333333333333
1,20,32,18,6.875,8840.625,0.05333333333333334
1,21,32,20,6.984375,7637.5,0.05333333333333334
2,10,36,26,5.7555555555555555,3302.777777777778,0.0547945205479452
2,11,60,33,6.95,5530.0,0.091324200913242
2,12,48,32,7.139583333333333,8152.083333333333,0.0730593607305936
2,13,70,41,7.162857142857143,7431.428571428572,0.106544901065449
2,14,77,40,6.301298701298701,8336.363636363636,0.1171993911719939
2,15,50,32,7.016,7190.0,0.076103500761035
2,16,49,31,6.542857142857144,6993.877551020408,0.0745814307458143
2,17,59,37,6.876271186440678,7249.152542372882,0.0898021308980213
2,18,79,45,6.653164556962025,7245.569620253164,0.1202435312024353
2,19,60,36,6.906666666666666,5621.666666666667,0.091324200913242
2,20,40,25,6.85,8772.5,0.060882800608828
2,21,29,19,6.962068965517242,8337.931034482759,0.0441400304414003
3,10,27,15,7.007407407407407,9188.888888888889,0.03988183161004431
3,11,47,30,5.985106382978723,6982.978723404255,0.06942392909896603
3,12,56,34,7.001785714285715,7507.142857142857,0.0827178729689808
3,13,67,43,6.817910447761194,7820.895522388059,0.09896602658788774
3,14,82,49,6.86829268292683,6591.463414634146,0.12112259970457903
3,15,50,31,6.404,8906.0,0.07385524372230429
3,16,70,40,7.45,7524.285714285715,0.103397341211226
3,17,68,42,6.923529411764706,6645.588235294118,0.10044313146233383
3,18,84,51,7.139285714285715,9135.714285714286,0.1240768094534712
3,19,54,34,7.059259259259259,7366.666666666667,0.07976366322008863
3,20,47,24,6.702127659574468,7323.404255319149,0.06942392909896603
3,21,25,15,6.892,6836.0,0.03692762186115214
4,10,41,25,6.765853658536585,7324.390243902439,0.05137844611528822
4,11,43,27,6.951162790697674,4786.046511627907,0.05388471177944862
4,12,66,45,6.837878787878788,6792.424242424242,0.08270676691729323
4,13,80,48,6.90375,7983.75,0.10025062656641603
4,14,96,59,6.54375,7668.75,0.12030075187969924
4,15,89,52,6.991011235955057,6637.078651685393,0.11152882205513784
4,16,61,38,6.826229508196721,8662.295081967213,0.07644110275689223
4,17,77,42,7.014285714285714,8884.415584415585,0.09649122807017543
4,18,78,48,6.961538461538462,6542.307692307692,0.09774436090225563
4,19,73,41,7.060273972602739,7413.698630136986,0.09147869674185463
4,20,56,31,7.264285714285714,10071.42857142857,0.07017543859649122
4,21,38,21,7.328947368421052,6447.368421052632,0.047619047619047616
5,10,34,23,6.835294117647059,11126.470588235294,0.04755244755244755
5,11,41,26,6.9121951219512185,7117.073170731707,0.057342657342657345
5,12,49,28,6.7122448979591836,7461.224489795918,0.06853146853146853
5,13,70,43,6.88,8417.142857142857,0.0979020979020979
5,14,76,49,6.696052631578947,7164.473684210527,0.1062937062937063
5,15,76,43,6.96578947368421,9434.21052631579,0.1062937062937063
5,16,60,34,7.003333333333333,8045.0,0.08391608391608392
5,17,71,43,6.419718309859155,10864.788732394367,0.0993006993006993
5,18,83,46,7.0530120481927705,7863.855421686747,0.11608391608391608
5,19,53,33,6.947169811320754,8988.67924528302,0.07412587412587412
5,20,57,36,6.640350877192983,5957.894736842105,0.07972027972027972
5,21,45,27,6.702222222222223,8157.777777777777,0.06293706293706294
6,10,29,17,7.017241379310345,7127.586206896552,0.0464
6,11,38,26,6.836842105263158,5778.9473684210525,0.0608
6,12,35,22,6.56,5748.571428571428,0.056
6,13,75,46,6.454666666666666,6666.666666666667,0.12
6,14,83,52,6.727710843373494,6913.253012048192,0.1328
6,15,72,37,6.699999999999999,8941.666666666666,0.1152
6,16,55,38,5.932727272727273,7298.181818181818,0.088
6,17,47,33,6.719148936170213,6821.276595744681,0.0752
6,18,65,41,6.983076923076923,8752.307692307691,0.104
6,19,39,28,7.035897435897435,7366.666666666667,0.0624
6,20,49,31,6.697959183673469,9493.877551020409,0.0784
6,21,38,22,6.563157894736842,10828.947368421053,0.0608
7,10,42,29,7.261904761904762,7402.380952380952,0.0498220640569395
7,11,47,30,6.748936170212766,9259.574468085106,0.05575326215895611
7,12,65,39,7.241538461538461,7356.923076923077,0.0771055753262159
7,13,92,61,6.998913043478261,8080.434782608696,0.10913404507710557
7,14,80,50,7.172499999999999,8288.75,0.09489916963226572
7,15,93,55,6.594623655913978,8739.78494623656,0.1103202846975089
7,16,76,45,7.007894736842106,6321.0526315789475,0.09015421115065243
7,17,80,53,6.891249999999999,7272.5,0.09489916963226572
7,18,89,53,6.152808988764045,7180.898876404494,0.1055753262158956
7,19,83,49,6.749397590361446,6993.975903614458,0.09845788849347568
7,20,63,35,7.444444444444445,8820.63492063492,0.07473309608540925
7,21,33,25,7.621212121212121,8727.272727272728,0.03914590747330961
8,10,28,16,5.896428571428571,8128.571428571428,0.05907172995780591
8,11,43,24,6.786046511627907,8293.023255813954,0.09071729957805907
8,12,38,23,7.086842105263158,8557.894736842105,0.08016877637130802
8,13,37,24,7.035135135135135,7924.324324324324,0.07805907172995781
8,14,35,22,7.025714285714286,9062.857142857143,0.07383966244725738
8,15,47,30,6.614893617021276,7725.531914893617,0.09915611814345991
8,16,41,22,6.763414634146342,7009.756097560976,0.08649789029535865
8,17,59,35,7.032203389830508,7152.542372881356,0.12447257383966245
8,18,51,34,6.6117647058823525,7641.176470588235,0.10759493670886076
8,19,49,31,5.922448979591836,8236.734693877552,0.10337552742616034
8,20,21,10,6.642857142857143,5604.761904761905,0.04430379746835443
8,21,25,16,6.803999999999999,7904.0,0.052742616033755275
9,10,23,14,6.686956521739131,8756.521739130434,0.029754204398447608
9,11,57,33,7.135087719298245,6896.491228070176,0.07373868046571798
9,12,61,41,6.70655737704918,8386.88524590164,0.07891332470892626
9,13,83,48,7.2132530120481935,8246.987951807228,0.1073738680465718
9,14,69,42,6.440579710144927,6811.594202898551,0.08926261319534282
9,15,59,35,6.7101694915254235,6508.474576271186,0.07632600258732213
9,16,73,48,6.675342465753425,7141.095890410959,0.0944372574385511
9,17,87,54,7.174712643678162,6728.735632183908,0.11254851228978008
9,18,87,50,7.05632183908046,7219.540229885058,0.11254851228978008
9,19,70,40,6.8757142857142854,6605.714285714285,0.09055627425614489
9,20,67,42,6.2298507462686565,8834.328358208955,0.08667529107373868
9,21,37,22,7.418918918918919,9267.567567567568,0.047865459249676584
10,10,26,20,6.338461538461539,6023.076923076923,0.036775106082036775
10,11,36,21,6.855555555555555,10030.555555555555,0.05091937765205092
10,12,62,34,7.401612903225806,6672.580645161291,0.0876944837340877
10,13,58,39,6.665517241379311,7565.517241379311,0.08203677510608204
10,14,77,48,6.5051948051948045,7141.558441558442,0.10891089108910891
10,15,81,53,6.797530864197531,8546.913580246914,0.11456859971711457
10,16,73,45,6.853424657534247,6936.986301369863,0.10325318246110325
10,17,72,43,6.763888888888889,7937.5,0.10183875530410184
10,18,83,50,7.014457831325302,9460.240963855422,0.1173974540311174
10,19,66,39,6.4803030303030305,7892.424242424242,0.09335219236209336
10,20,35,21,6.834285714285714,7162.857142857143,0.04950495049504951
10,21,38,28,6.515789473684211,7750.0,0.05374823196605375
11,10,31,18,6.280645161290322,8806.451612903225,0.04640718562874251
11,11,50,29,6.944,8654.0,0.0748502994011976
11,12,54,33,7.3314814814814815,5185.185185185185,0.08083832335329341
11,13,82,52,6.475609756097561,7571.951219512195,0.12275449101796407
11,14,78,45,6.826923076923077,9025.641025641025,0.11676646706586827
11,15,69,40,6.708695652173913,8423.188405797102,0.10329341317365269
11,16,70,44,7.015714285714286,6694.285714285715,0.10479041916167664
11,17,61,39,6.759016393442623,7450.819672131148,0.09131736526946108
11,18,63,36,6.796825396825397,9188.888888888889,0.09431137724550898
11,19,51,27,7.3882352941176475,6129.411764705882,0.07634730538922156
11,20,30,21,7.05,5646.666666666667,0.04491017964071856
11,21,29,18,6.686206896551725,5517.241379310345,0.04341317365269461
12,10,28,15,7.585714285714286,10146.42857142857,0.04895104895104895
12,11,44,28,6.904545454545455,7800.0,0.07692307692307693
12,12,63,38,6.998412698412698,8341.269841269841,0.11013986013986014
12,13,76,44,6.646052631578947,8592.105263157895,0.13286713286713286
12,14,47,29,6.334042553191489,5848.936170212766,0.08216783216783216
12,15,54,33,6.764814814814815,10068.518518518518,0.0944055944055944
12,16,53,34,6.7924528301886795,7726.415094339623,0.09265734265734266
